ktśarek,0
gjjolek,0
tsztolek,0
tżcolek,0
cźąc,0
fąc,0
ccharek,0
źdźbląc,0
skłarek,0
stsąc,0
zząc,0
fpąc,0
wwąc,0
chżczarek,0
rjąc,0
trąc,0
tmąc,0
rjarek,0
jmolek,0
stsolek,0
drgarek,0
chżcarek,0
gjjarek,0
kcolek,0
szpżolek,0
ftsząc,0
tsfarek,0
fśarek,0
krtolek,0
mkniolek,0
źdźbłolek,0
schrarek,0
stśolek,0
tżmarek,0
ccholek,0
tsnolek,0
tsmolek,0
stśarek,0
cchąc,0
ftszolek,0
cźarek,0
tsztarek,0
płcarek,0
chżtolek,0
szpżąc,0
pśąc,0
tsfolek,0
srąc,0
ktśąc,0
gjjąc,0
szkwolek,0
ljarek,0
mlarek,0
wwolek,0
fśolek,0
tsfąc,0
tfąc,0
fparek,0
rjolek,0
drżarek,0
fkolek,0
tżcąc,0
stżarek,0
chżcolek,0
ftsąc,0
fcharek,0
kfąc,0
tjarek,0
fsarek,0
ftśąc,0
fśąc,0
ftsolek,0
fpolek,0
kcarek,0
schniarek,0
jmarek,0
stśąc,0
pchłolek,0
kfolek,0
fsąc,0
wkrarek,0
tżcarek,0
ftszarek,0
wśarek,0
zmrarek,0
lnolek,0
krtarek,0
fjąc,0
ftsarek,0
ftolek,0
śfąc,0
śfolek,0
szkłarek,0
tfolek,0
chtsolek,0
ktśolek,0
cźolek,0
schrolek,0
tłolek,0
chżtarek,0
tjąc,0
ścolek,0
ftśolek,0
chfąc,0
chtsarek,0
kśąc,0
wwarek,0
sśarek,0
sśolek,0
szfąc,0
stsarek,0
stsząc,1
clolek,1
wtąc,1
dnarek,1
lniolek,1
zgżąc,1
kżąc,1
tsnąc,1
żąc,1
mżąc,1
gdąc,1
wżąc,1
mkniarek,1
mknolek,1
skrolek,1
tnolek,1
sząc,1
dmolek,1
wdźolek,1
chszolek,1
skżąc,1
kśolek,1
źdźbarek,1
zdrąc,1
ktolek,1
szpolek,1
pszarek,1
znarek,1
chwarek,1
płcąc,1
źdźblarek,1
zmąc,1
grolek,1
dźolek,1
rolek,1
czkarek,1
źrarek,1
czwąc,1
tpolek,1
dlolek,1
zgarek,1
tpąc,1
zwłolek,1
źolek,1
tmolek,1
tsząc,1
wjarek,1
rwolek,1
śmąc,1
twolek,1
wzwarek,1
zgolek,1
ląc,1
dżdżarek,1
tnarek,1
ljolek,1
źdźbłąc,1
gląc,1
tżmąc,1
drarek,1
szpżarek,1
pchląc,1
zwarek,1
wbolek,1
kśarek,1
lwąc,1
czkolek,1
trwąc,1
golek,1
niarek,1
wrolek,1
żnąc,1
wgarek,1
pcholek,1
wspolek,1
dźarek,1
dzbolek,1
mniolek,1
wzwolek,1
gźąc,1
siąc,1
psząc,1
lgnąc,1
chmolek,1
cłolek,1
wkrąc,1
tszolek,1
tśmolek,1
tśmąc,1
swarek,1
narek,1
sfarek,1
sklolek,1
szmąc,1
szfolek,1
ksząc,1
chrąc,1
lgniąc,1
slarek,1
łgarek,1
wsząc,1
zbrąc,1
frarek,1
szlolek,1
śwolek,1
szklolek,1
pstrolek,1
pjąc,1
wpąc,1
chżcąc,1
sfąc,1
dżdżąc,1
sznolek,1
śrarek,1
wlolek,1
szparek,1
chfolek,1
żarek,1
dniarek,1
kniolek,1
zrarek,1
błarek,1
ssąc,1
szczwarek,1
cmarek,1
trarek,1
ftarek,1
swolek,1
zgrolek,1
zzarek,1
stwolek,1
wtolek,1
szprąc,1
zgąc,1
żwarek,1
wźarek,1
zgrarek,1
chjarek,1
frolek,1
stolek,1
fcholek,1
mglarek,1
tparek,1
kjjolek,1
szkwarek,1
bzolek,1
smrąc,1
djolek,1
schnarek,1
chrolek,1
kjjąc,1
wżolek,1
sprarek,1
twarek,1
fkarek,1
zmarek,1
gżolek,1
trwarek,1
znolek,1
czarek,1
pjarek,1
molek,1
wjąc,1
polek,1
zgjąc,1
zgżarek,1
wstąc,1
słąc,1
plarek,1
zgniąc,1
charek,1
msząc,1
tnąc,1
pszczarek,1
łgąc,1
zdolek,1
szkwąc,1
knarek,1
krarek,1
tfarek,1
zzolek,1
złąc,1
gżbąc,1
psolek,1
schrąc,1
śmolek,1
brwolek,1
czcąc,1
wdźąc,1
mnąc,1
stszolek,1
cnąc,1
wząc,1
chmarek,1
pcharek,1
wtarek,1
sąc,1
bząc,1
dżdżolek,1
mknąc,1
kniarek,1
mląc,1
wśąc,1
śniąc,1
sparek,1
bżąc,1
szcolek,1
bąc,1
warek,1
srarek,1
tcharek,1
starek,1
dbąc,1
szlarek,1
łbarek,1
dzwarek,1
stłarek,1
fchąc,1
pchlolek,1
sklarek,1
bjąc,1
wczarek,1
tżąc,1
łarek,1
człolek,1
krwolek,1
zdjąc,1
wscharek,1
dnolek,1
tkolek,1
scarek,1
tniarek,1
schniolek,1
niąc,1
ksarek,1
glolek,1
szkłolek,1
tszkolek,1
zlolek,1
źdźbąc,1
kwolek,1
pszczolek,1
wzrarek,1
mgiolek,1
lnarek,1
zdźolek,1
sznarek,1
schnolek,1
zżarek,1
spżąc,1
snarek,1
pżąc,1
lśniąc,1
zrąc,1
mnolek,1
zjarek,1
śwąc,1
mrarek,1
krtąc,1
żbarek,1
sztarek,1
gżmąc,1
pśarek,1
chtsąc,1
slolek,1
szcząc,1
chżąc,1
gmarek,1
szrolek,1
tchąc,1
łźąc,1
fjolek,1
wdźarek,1
szrarek,1
gzarek,1
lniąc,1
kłarek,1
gdźąc,1
dlarek,1
schląc,1
mglolek,1
wszarek,1
mgłąc,1
kszolek,1
schlarek,1
cąc,1
schlolek,1
zgjolek,1
chcarek,1
mąc,1
tlolek,1
skłolek,1
kląc,1
włarek,1
mszolek,1
mszarek,1
szmarek,1
fszarek,1
zarek,1
żniąc,1
dłąc,1
łzarek,1
chcolek,1
zlarek,1
jąc,1
żwolek,1
szkolek,1
brolek,1
lżąc,1
chlarek,1
sszolek,1
bzarek,1
rżolek,1
wskarek,1
chjolek,1
rąc,1
szprarek,1
wsparek,1
gąc,1
schąc,1
wżarek,1
tsmąc,1
skżolek,1
stżąc,1
wkrolek,1
ssarek,1
zblarek,1
kjjarek,1
gdźarek,1
zszolek,1
rdzolek,1
stłąc,1
łźolek,1
głolek,1
gdolek,1
zgżolek,1
skląc,1
kłolek,1
skżarek,1
spolek,1
fkąc,1
wląc,1
grąc,1
tłąc,1
smrolek,1
słolek,1
dmarek,1
zwąc,1
fsolek,1
sprąc,1
wszolek,1
śparek,1
szłolek,1
pąc,1
wkąc,1
wstrąc,1
gnąc,1
człarek,1
zląc,1
zgniolek,1
strąc,1
